id,category,name,sizeDisp,recordCount,recordUnit
337,"Audio-visual 数据","VGGSound","200.0 GB",,
338,"Audio-visual 数据","AudioSet","2.0 TB",,
339,"Audio-visual 数据","Auto-ACD","300.0 GB",,
340,"Audio-visual 数据","audiogrounding","5.2 GB",,
341,"Audio-visual 数据","AudioSetSL","196.0 GB",,
342,"Audio-visual 数据","AVDC","244.0 GB",,
343,"Audio-visual 数据","clotho-aqa","12.0 GB",,
344,"Audio-visual 数据","Clotho-Moment","229.0 GB",,
345,"Audio-visual 数据","MMAR","7.3 GB",,
346,"Audio-visual 数据","MMAU","15.0 GB",,
347,"Audio-visual 数据","Walking_Tours","47.0 GB",,
349,"Audio-visual 数据","AVE_Dataset","5.4 GB",,
350,"Audio-visual 数据","avis","17.0 GB",,
351,"Audio-visual 数据","AVSBench","240.0 GB",,
352,"Audio-visual 数据","LFAV","98.0 GB",,
353,"Audio-visual 数据","Music-AVQA","48.0 GB",,
354,"Audio-visual 数据","unav100","474.0 GB",,
355,"Audio-visual 数据","World Sense","19.0 GB",,
356,"Audio-visual 数据","music_genres","9.6 GB",,
357,"Audio-visual 数据","TIMIT","1.3 GB",,
360,"Audio-visual 数据","AVDC","244.0 GB",,
361,"Audio-visual 数据","unav100","474.0 GB",,
362,"Audio-visual 数据","audiogrounding","5.2 GB",,
363,"Audio-visual 数据","World Sense","19.0 GB",,
364,"Audio-visual 数据","Clotho-Moment","229.0 GB",,
365,"Audio-visual 数据","Music-AVQA","48.0 GB",,
366,"Audio-visual 数据","freesound","1.0 TB",,
367,"Audio-visual 数据","gigaspeech","2.0 TB",,
368,"Audio-visual 数据","AVSpeech","800.0 GB",,
369,"Audio-visual 数据","MMAR","7.3 GB",,
370,"Audio-visual 数据","MMAU","15.0 GB",,
371,"Audio-visual 数据","xares","4.1 TB",,
299,"3D Vision 数据","aria synthetic environments (subset)","795.0 GB",,
300,"3D Vision 数据","blendedMVS","79.0 GB",,
302,"3D Vision 数据","dl3dv","4.4 TB",,
303,"3D Vision 数据","dynamic_replica","1.7 TB",,
304,"3D Vision 数据","hypersim","251.0 GB",,
305,"3D Vision 数据","map_free","668.0 GB",,
306,"3D Vision 数据","megadepth","102.0 GB",,
307,"3D Vision 数据","MVS-Synth","4.2 GB",,
308,"3D Vision 数据","omni-world-games","4.9 TB",,
309,"3D Vision 数据","pointodyssey","66.0 GB",,
310,"3D Vision 数据","scannetpp(subset)","14.0 GB",,
311,"3D Vision 数据","scannet(subset)","337.0 GB",,
312,"3D Vision 数据","spring","26.0 GB",,
313,"3D Vision 数据","tartanair","835.0 GB",,
314,"3D Vision 数据","virtual_kitti2","136.0 GB",,
315,"3D Vision 数据","waymo_open","96.0 GB",,
316,"3D Vision 数据","wildrgb","10.0 TB",,
231,"病理（多模态）数据","KidRare (Xinhua & SCMC)","6.6 TB",,
232,"病理（多模态）数据","CPTAC","6.0 TB",,
233,"病理（多模态）数据","GTEx","500.0 GB",,
234,"病理（多模态）数据","HEST-1K","450.0 GB",,
241,"病理（多模态）数据","ARCH","200.0 GB",,
243,"病理（多模态）数据","Quilt-1M","100.0 GB",,
244,"病理（多模态）数据","ESCA (多中心)","100.0 GB",,
245,"病理（多模态）数据","Osteosarcoma (TCIA)","50.0 GB",,
246,"病理（多模态）数据","UMLS (2025AB Full)","38.0 GB",,
